"Tipo_Estacion","Estacion","Muestra","Aeshnidae","Chironomidae","Glossiphoniidae","Hyalellidae","Physidae","Coenagrionidae","Corixidae","Gerridae","Naididae","Notonectidae","Planariidae","Sphaeriidae","Staphylinidae","Planorbidae","Gyrinidae","Baetidae","Lymnaeidae","Mesoveliidae","Simuliidae","Tipulidae","Hydrophilidae","Philopotamidae","Polycentropodidae","Libellulidae","Hydroptilidae","Lumbricidae","Leptoceridae","Empididae","Muscidae","Lepidoptera","Dytiscidae","Ceratopogonidae","Hirudinea","Ptilodactylidae"
"Rio_Frio","Fri1",1,1,13,12,130,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rio_Frio","Fri1",2,2,0,0,1,57,1,17,2,1,6,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rio_Frio","Fri1",3,2,0,0,0,10,0,4,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rio_Frio","Fri1",4,5,1,0,119,6,1,3,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rio_Frio","Fri1",5,0,13,4,15,27,1,5,0,1,4,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rio_Frio","Fri1",6,2,0,0,14,35,1,10,11,0,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rio_Frio","Fri2",1,0,0,3,60,28,1,2,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rio_Frio","Fri2",2,0,0,4,3,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rio_Frio","Fri2",3,0,0,5,63,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rio_Frio","Fri2",4,3,2,1,41,0,0,1,1,0,4,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rio_Frio","Fri2",5,0,0,4,0,2,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rio_Frio","Fri2",6,0,0,6,0,4,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rio_Frio","Fri3",1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rio_Frio","Fri3",2,0,0,0,35,33,0,2,1,0,0,21,5,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rio_Frio","Fri3",3,0,0,0,4,24,0,1,4,0,0,1,0,0,0,0,2,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rio_Frio","Fri3",4,0,1,17,59,6,0,0,0,8,0,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rio_Frio","Fri3",5,0,4,3,52,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rio_Frio","Fri3",6,0,0,1,67,13,0,17,0,0,0,29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rio_Frio","Fri4",1,0,0,2,51,15,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Rio_Frio","Fri4",2,1,1,0,23,37,0,0,0,0,1,4,37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Rio_Frio","Fri4",3,0,0,0,13,14,0,0,0,0,0,0,21,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rio_Frio","Fri4",4,0,0,0,34,16,0,0,0,2,0,0,15,0,0,0,7,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
"Rio_Frio","Fri4",5,1,0,1,3,14,0,2,0,0,1,0,32,0,0,0,0,0,0,0,0,22,0,0,1,0,0,0,0,0,0,0,0,0,0
"Rio_Frio","Fri4",6,2,3,1,11,51,0,4,0,0,0,11,67,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rio_Frio","Fri5",1,0,0,0,8,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rio_Frio","Fri5",2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rio_Frio","Fri5",3,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rio_Frio","Fri5",4,0,34,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rio_Frio","Fri5",5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rio_Frio","Fri5",6,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rio_Neusa","Neu6",1,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Referencia","Neu1",2,0,9,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Referencia","Neu2",2,0,7,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Referencia","Neu3",2,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Rio_Neusa","Neu6",2,0,17,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rio_Neusa","Neu7",2,0,1,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Referencia","Neu1",3,0,59,1,0,0,0,0,0,8,0,0,16,0,0,0,2,0,0,3,5,0,0,0,0,0,3,2,0,0,0,0,0,0,0
"Referencia","Neu2",3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29,8,0,0,0,0,0,24,0,0,0,0,0,0,0,0
"Referencia","Neu3",3,0,33,1,1,1,0,0,0,0,0,0,10,0,0,0,0,0,0,41,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Rio_Neusa","Neu4",3,0,26,0,0,0,0,0,0,3,0,2,2,0,0,0,9,0,1,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Rio_Neusa","Neu6",3,0,49,0,0,0,0,0,0,11,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Rio_Neusa","Neu7",3,1,30,1,0,0,0,0,0,4,0,0,0,0,0,0,14,0,0,27,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
"Referencia","Neu3",4,0,53,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Rio_Neusa","Neu7",4,0,11,1,0,1,0,1,0,4,0,1,3,0,0,0,0,0,1,5,0,2,0,0,0,0,1,0,0,0,0,3,0,0,0
"Referencia","Neu1",5,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,60,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Referencia","Neu3",5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Rio_Neusa","Neu4",5,0,5,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rio_Neusa","Neu6",5,4,9,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rio_Neusa","Neu7",5,4,29,0,0,8,0,17,1,0,1,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Referencia","Neu1",6,0,21,0,0,0,0,0,0,0,0,0,33,0,0,0,5,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Referencia","Neu2",6,3,17,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,52,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0
"Referencia","Neu3",6,0,18,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Rio_Neusa","Neu4",6,0,3,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Rio_Neusa","Neu6",6,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
"Rio_Neusa","Neu7",6,7,7,0,0,45,0,28,1,0,1,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0
"Referencia","Neu1",7,0,8,0,0,0,0,0,0,8,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Referencia","Neu2",7,0,0,5,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"Referencia","Neu3",7,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0
"Rio_Neusa","Neu4",7,1,56,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,19,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
"Rio_Neusa","Neu6",7,0,7,0,0,1,0,0,0,5,0,0,4,0,0,0,13,0,0,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rio_Neusa","Neu7",7,4,7,0,0,22,1,2,0,0,1,4,2,0,0,0,3,0,0,71,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Rio_Neusa","Neu4",8,0,27,1,0,0,0,0,0,0,0,3,7,0,0,0,1,0,0,8,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
"Rio_Neusa","Neu6",8,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"Referencia","Neu1",9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Referencia","Neu2",9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"Rio_Neusa","Neu6",9,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Referencia","Neu2",10,0,64,8,4,0,0,0,0,27,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,6,0,0
"Rio_Neusa","Neu4",11,0,9,1,0,0,0,0,5,24,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
